folder,name_zh,name_en,wins,inline_baseline_corr,inline_prediction_corr,inline_corr_delta,inline_baseline_hf_ratio,inline_prediction_hf_ratio,inline_hf_ratio_delta,inline_res_corr,inline_phase,inline_spectrum_l1,crossline_baseline_corr,crossline_prediction_corr,crossline_corr_delta,crossline_baseline_hf_ratio,crossline_prediction_hf_ratio,crossline_hf_ratio_delta,crossline_res_corr,crossline_phase,crossline_spectrum_l1
spectral_shaping_sri,谱整形正则化反演,Spectral shaping SRI,0,0.6258120955988673,0.34726265447667914,-0.27854944112218816,1.9586414831946652e-08,0.44313139777599814,0.4431313781895833,-0.012905466512907767,-0.023792073455527682,0.3056926945813654,0.5870834705863515,0.346178699106926,-0.24090477147942546,1.9460239912365026e-08,0.4438160034731773,0.44381598401293737,0.004516418143246411,0.006715575863566731,0.2857446602072157
low_frequency_protection_cs,低频保护谱外推,Low-frequency protection,0,0.6258120955988673,0.3872667146221037,-0.2385453809767636,1.9586414831946652e-08,0.41545385151429726,0.41545383192788243,-0.0009679413241789302,-0.0024472540109543904,0.29256491341904634,0.5870834705863515,0.382080099064158,-0.20500337152219344,1.9460239912365026e-08,0.4146098484096522,0.4146098289494123,0.015400919466277646,0.0247934817508918,0.2694466707540102
self_supervised_idr_spectral,自监督IDR谱外推,Self-supervised IDR,0,0.6258120955988673,0.32597444567646167,-0.29983764992240564,1.9586414831946652e-08,0.43452570914829924,0.4345256895618844,-0.06280993588626917,-0.11620128958762382,0.31619848049655763,0.5870834705863515,0.3170592807128924,-0.27002418987345905,1.9460239912365026e-08,0.43658423385372247,0.43658421439348255,-0.0492649308750198,-0.09036982528051353,0.29986253141563435
fractional_time_frequency,分数阶时频谱拓频,Fractional time-frequency,0,0.6258120955988673,0.2993583098377428,-0.3264537857611245,1.9586414831946652e-08,0.45904426561350126,0.45904424602708643,-0.0487591935039796,-0.08847597682850132,0.3240130925432215,0.5870834705863515,0.29414654992862066,-0.2929369206577308,1.9460239912365026e-08,0.4614108745887407,0.4614108551285008,-0.03390024122435467,-0.06117797070547025,0.30807861748511156
nonstationary_sparse_inversion,非稳态稀疏反演近似,Nonstationary sparse inversion,0,0.6258120955988673,0.10253200894096531,-0.5232800866579019,1.9586414831946652e-08,0.7683371507350589,0.7683371311486441,0.01170081493406452,0.01727229394928682,0.352479332609433,0.5870834705863515,0.09811891639951967,-0.4889645541868318,1.9460239912365026e-08,0.773850476363791,0.7738504569035511,0.01920654137180897,0.02784184258043897,0.3383886508091219
