624690.0625	6074133	294.465	0	0
624643.8125	6074132	368.093	0	1
624597.875	6074130.5	443.721	0	2
624536.0625	6074129	509.341	0	3
624523.3125	6074128.5	562.925	0	4
624476.375	6074127	637.586	0	5
624441.5625	6074126	709.011	0	6
624186.625	6074119	849.731	0	7
623885.3125	6074110.5	970.434	0	8
623691.1875	6074105.5	1047.17	0	9
623509.4375	6074100	1124.17	0	10
623239.5	6074092.5	1225	0	11
624505.1875	6074528	291.795	1	0
624461.6875	6074527	387.417	1	1
624413.125	6074525.5	463.931	1	2
624391.875	6074525	542.442	1	3
624357.8125	6074524	624.886	1	4
624272.9375	6074521.5	722.242	1	5
624207.9375	6074520	791.052	1	6
624145.3125	6074518	870.983	1	7
624109.1875	6074517	949.322	1	8
624043.5625	6074515.5	1018.92	1	9
623966.125	6074513	1097.97	1	10
623769.1875	6074507.5	1196.17	1	11
623676.3125	6074505	1272.27	1	12
623584.8125	6074502.5	1357.95	1	13
623451.4375	6074498.5	1442.27	1	14
623343	6074495.5	1515.61	1	15
623181.6875	6074491	1604.45	1	16
624446.25	6075026.5	294.467	2	0
624409.6875	6075025.5	373.739	2	1
624344.9375	6075024	453.398	2	2
624321.125	6075023	529.522	2	3
624310	6075023	600.291	2	4
624272.375	6075022	678.866	2	5
624202.5	6075020	740.937	2	6
624140.75	6075018	838.969	2	7
624085	6075016.5	903.365	2	8
624008.4375	6075014.5	1002.21	2	9
623982.6875	6075013.5	1076.55	2	10
623926.6875	6075012	1145.54	2	11
623863.9375	6075010.5	1245.43	2	12
623824.0625	6075009	1322.6	2	13
623712.0625	6075006	1396.43	2	14
623651.9375	6075004.5	1448.98	2	15
623479.1875	6074999.5	1513.73	2	16
623336.8125	6074995.5	1588.35	2	17
623173.75	6074991	1635.87	2	18
624283.3125	6075522.5	276.547	3	0
624279.8125	6075522.5	383.731	3	1
624255.3125	6075521.5	464.533	3	2
624228.4375	6075521	535.981	3	3
624208.3125	6075520.5	636.738	3	4
624151.125	6075518.5	704.955	3	5
624124.375	6075518	779.15	3	6
624043.5625	6075516	873.383	3	7
623971.25	6075513.5	944.364	3	8
623883.3125	6075511	1011.68	3	9
623800	6075509	1100.99	3	10
623686.25	6075505.5	1188.77	3	11
623513.125	6075501	1279.11	3	12
623356.75	6075496.5	1381.82	3	13
623257.9375	6075493.5	1478.75	3	14
622988	6075486	1619.31	3	15
622761.5	6075480	1685.17	3	16
624164	6076019	266.709	4	0
624110	6076017.5	358.197	4	1
624049.375	6076016	422.131	4	2
623994.0625	6076014.5	510.255	4	3
623967.4375	6076013.5	592.606	4	4
623924.625	6076012.5	671.274	4	5
623861.9375	6076010.5	798.923	4	6
623738.375	6076007.5	927.473	4	7
623711.625	6076006.5	1013.4	4	8
623654.3125	6076005	1101.82	4	9
623479.3125	6076000	1217.78	4	10
623347.1875	6075996.5	1319.75	4	11
623238.6875	6075993.5	1388.71	4	12
623117	6075990	1472.55	4	13
622890.6875	6075983.5	1578.05	4	14
622735.9375	6075979.5	1658.51	4	15
623929.75	6076513	225.231	5	0
623862.25	6076511	340.567	5	1
623799.4375	6076509	408.871	5	2
623785.75	6076509	487.597	5	3
623752.125	6076508	547.926	5	4
623675.9375	6076506	629.402	5	5
623647.625	6076505	715.202	5	6
623526.3125	6076501.5	810.022	5	7
623460.25	6076500	893.561	5	8
623279.1875	6076494.5	986.01	5	9
623172.8125	6076491.5	1084.02	5	10
623061.125	6076488.5	1158.97	5	11
622967.625	6076486	1246.96	5	12
622842.6875	6076482.5	1339.68	5	13
622667.625	6076477.5	1424.3	5	14
622552.625	6076474.5	1491.71	5	15
622388.75	6076470	1557.31	5	16
622134.875	6076462.5	1660.44	5	17
622003.1875	6076459	1732.96	5	18
623529.4375	6077002	281.555	6	0
623431	6076999	380.056	6	1
623349	6076997	465.423	6	2
623299.75	6076995.5	539.847	6	3
623119.3125	6076990.5	664.614	6	4
622922.375	6076985	778.437	6	5
622774.9375	6076980.5	872.559	6	6
622610.6875	6076976	975.439	6	7
622512.25	6076973.5	1054.24	6	8
622397.375	6076970.5	1130.85	6	9
622315.375	6076968	1192.14	6	10
622102.0625	6076962	1292.83	6	11
621888.75	6076956	1358.5	6	12
621659.0625	6076949.5	1463.57	6	13
621511.375	6076945.5	1542.37	6	14
621380.125	6076942	1621.17	6	15
620937.1875	6076929.5	1706.53	6	16
622813.75	6077482	251.033	7	0
622729	6077479.5	336.992	7	1
622627.25	6077477	447.833	7	2
622491.625	6077473	531.53	7	3
622406.8125	6077470.5	606.178	7	4
622288.125	6077467.5	701.186	7	5
622169.4375	6077464	802.979	7	6
622084.6875	6077461.5	884.414	7	7
622016.875	6077460	968.11	7	8
621796.4375	6077453.5	1072.17	7	9
621609.9375	6077448.5	1155.86	7	10
621474.25	6077444.5	1250.87	7	11
621270.8125	6077439	1330.04	7	12
620999.5	6077431.5	1434.1	7	13
620779.125	6077425.5	1535.89	7	14
620558.6875	6077419	1624.11	7	15
620321.3125	6077412.5	1687.45	7	16
620050	6077405	1753.05	7	17
622109.9375	6077962.5	229.266	8	0
622039.875	6077960.5	362.375	8	1
621969.875	6077958.5	462.79	8	2
621864.875	6077956	567.876	8	3
621777.375	6077953.5	663.621	8	4
621707.3125	6077951.5	771.042	8	5
621637.3125	6077949.5	857.446	8	6
621549.8125	6077947	955.526	8	7
621374.75	6077942	1074.62	8	8
621234.75	6077938	1165.7	8	9
621077.1875	6077934	1242.76	8	10
620902.5625	6077929	1347.76	8	11
620797.125	6077926	1415.57	8	12
620709.625	6077923.5	1506.64	8	13
620552.0625	6077919	1576.7	8	14
620377.0625	6077914	1677.11	8	15
620237	6077910.5	1737.83	8	16
621857.8125	6078456	260.484	9	0
621821.6875	6078455	392.946	9	1
621713.375	6078451.5	532.634	9	2
621623.125	6078449	662.688	9	3
621496.75	6078445.5	780.7	9	4
621406.5	6078443	852.952	9	5
621280.125	6078439.5	990.231	9	6
621153.75	6078436	1110.65	9	7
620937.125	6078430	1252.75	9	8
620774.6875	6078425.5	1377.98	9	9
620666.375	6078422.5	1471.91	9	10
620503.875	6078418	1561.02	9	11
620359.4375	6078414	1669.4	9	12
620197	6078409.5	1741.65	9	13
620088.6875	6078406.5	1804.27	9	14
621657.0625	6078950.5	210.548	10	0
621582.625	6078948.5	356.961	10	1
621526.875	6078946.5	483.521	10	2
621378.0625	6078942.5	620.007	10	3
621303.625	6078940.5	744.086	10	4
621192.0625	6078937.5	860.72	10	5
621117.625	6078935.5	947.575	10	6
620987.4375	6078931.5	1054.28	10	7
620875.8125	6078928.5	1126.25	10	8
620689.8125	6078923.5	1208.14	10	9
620522.4375	6078918.5	1287.55	10	10
620336.4375	6078913.5	1389.29	10	11
620187.625	6078909.5	1476.15	10	12
620057.375	6078905.5	1567.97	10	13
619908.625	6078901.5	1632.49	10	14
619685.375	6078895.5	1739.2	10	15
621341.9375	6079442	238.053	11	0
621227	6079438.5	401.556	11	1
621112.125	6079435.5	554.84	11	2
620997.25	6079432	731.117	11	3
620805.75	6079427	889.511	11	4
620671.6875	6079423	1027.47	11	5
620537.6875	6079419.5	1129.66	11	6
620365.3125	6079414.5	1216.52	11	7
620135.5	6079408	1321.26	11	8
619982.3125	6079404	1426.01	11	9
619810	6079399	1523.09	11	10
619618.5	6079393.5	1607.39	11	11
619465.3125	6079389.5	1704.47	11	12
620884.4375	6079929	226.292	12	0
620825.375	6079927.5	370.826	12	1
620687.5	6079923.5	565.291	12	2
620549.625	6079920	730.849	12	3
620363.6875	6079914.5	923.542	12	4
620155.6875	6079909	1106.64	12	5
619998.0625	6079904.5	1230.15	12	6
619820.8125	6079899.5	1353.66	12	7
619702.625	6079896	1458.78	12	8
619485.9375	6079890	1558.64	12	9
619190.5	6079882	1653.24	12	10
