624249.171994	6074220.949289	875.627
624274.162247	6074221.64733	871.552
624299.1525	6074222.345371	871.416
624324.142753	6074223.043412	871.174
624349.133005	6074223.741453	870.962
624374.123258	6074224.439494	870.693
624399.113511	6074225.137535	870.433
624424.103764	6074225.835576	870.147
624449.094017	6074226.533617	869.878
624474.08427	6074227.231658	869.544
624499.074523	6074227.929699	869.242
624524.064776	6074228.62774	868.98
624549.055028	6074229.325781	868.849
624574.045281	6074230.023821	868.737
624599.035534	6074230.721862	868.626
624624.025787	6074231.419903	868.521
624649.01604	6074232.117944	868.435
624674.006293	6074232.815985	868.376
624698.996546	6074233.514026	868.332
624723.986799	6074234.212067	868.308
624748.977052	6074234.910108	868.316
624773.967304	6074235.608149	868.348
624798.957557	6074236.30619	868.385
624823.94781	6074237.004231	868.409
624848.938063	6074237.702272	868.423
624873.928316	6074238.400313	868.44
624898.918569	6074239.098354	868.46
624923.908822	6074239.796395	868.448
624948.899075	6074240.494436	868.392
624973.889327	6074241.192477	868.285
624998.87958	6074241.890518	868.152
625023.869833	6074242.588559	868.02
625048.860086	6074243.2866	867.882
625073.850339	6074243.984641	867.712
625098.840592	6074244.682682	867.474
625123.830845	6074245.380723	867.193
625148.821098	6074246.078764	866.894
625173.81135	6074246.776805	866.596
625198.801603	6074247.474846	866.259
625223.791856	6074248.172887	865.927
625248.782109	6074248.870928	865.607
625273.772362	6074249.568969	865.331
625298.762615	6074250.26701	865.055
625323.752868	6074250.965051	864.788
625348.743121	6074251.663091	864.517
625373.733374	6074252.361132	864.28
625398.723626	6074253.059173	864.069
625423.713879	6074253.757214	863.893
625448.704132	6074254.455255	863.741
625473.694385	6074255.153296	863.615
625498.684638	6074255.851337	863.513
625523.674891	6074256.549378	863.437
625548.665144	6074257.247419	863.392
625573.655397	6074257.94546	863.352
625598.645649	6074258.643501	863.285
625623.635902	6074259.341542	863.172
625648.626155	6074260.039583	863.034
625673.616408	6074260.737624	862.879
625698.606661	6074261.435665	862.711
625723.596914	6074262.133706	862.542
625748.587167	6074262.831747	862.376
625773.57742	6074263.529788	862.222
625798.567672	6074264.227829	862.083
625823.557925	6074264.92587	861.965
625848.548178	6074265.623911	861.868
625873.538431	6074266.321952	861.798
625898.528684	6074267.019993	861.755
625923.518937	6074267.718034	861.742
625948.50919	6074268.416075	861.751
625973.499443	6074269.114116	861.781
625998.489696	6074269.812157	861.811
626023.479948	6074270.510198	861.834
626048.470201	6074271.208239	861.839
626073.460454	6074271.90628	861.862
626098.450707	6074272.604321	861.893
626123.44096	6074273.302361	861.938
626148.431213	6074274.000402	861.991
626173.421466	6074274.698443	862.047
626198.411719	6074275.396484	862.112
626223.401971	6074276.094525	862.189
626248.392224	6074276.792566	862.31
626273.382477	6074277.490607	862.486
626298.37273	6074278.188648	862.717
626323.362983	6074278.886689	862.99
626348.353236	6074279.58473	863.267
626373.343489	6074280.282771	863.505
626398.333742	6074280.980812	863.673
626423.323994	6074281.678853	863.757
626448.314247	6074282.376894	863.753
626473.3045	6074283.074935	863.831
626498.294753	6074283.772976	863.908
626523.285006	6074284.471017	864
626548.275259	6074285.169058	863.957
626573.265512	6074285.867099	863.825
626598.255765	6074286.56514	863.596
626623.246018	6074287.263181	863.264
626648.23627	6074287.961222	862.878
626673.226523	6074288.659263	862.447
626698.216776	6074289.357304	861.978
626723.207029	6074290.055345	861.506
626748.197282	6074290.753386	861.03
626773.187535	6074291.451427	860.576
626798.177788	6074292.149468	860.138
626823.168041	6074292.847509	859.726
626848.158293	6074293.54555	859.337
626873.148546	6074294.243591	858.97
626898.138799	6074294.941631	858.628
626923.129052	6074295.639672	858.267
626948.119305	6074296.337713	857.936
626973.109558	6074297.035754	857.637
626998.099811	6074297.733795	857.395
627023.090064	6074298.431836	857.174
627048.080316	6074299.129877	856.979
627073.070569	6074299.827918	856.826
627098.060822	6074300.525959	856.695
627123.051075	6074301.224	856.537
627148.041328	6074301.922041	856.355
627173.031581	6074302.620082	856.127
627198.021834	6074303.318123	855.88
627223.012087	6074304.016164	855.597
627248.00234	6074304.714205	855.299
627272.992592	6074305.412246	854.983
627297.982845	6074306.110287	854.633
627322.973098	6074306.808328	854.269
627347.963351	6074307.506369	853.895
627372.953604	6074308.20441	853.529
627397.943857	6074308.902451	853.142
627422.93411	6074309.600492	852.743
627447.924363	6074310.298533	852.34
627472.914615	6074310.996574	851.94
627497.904868	6074311.694615	851.529
627522.895121	6074312.392656	851.086
627547.885374	6074313.090697	850.6
627572.875627	6074313.788738	850.101
627597.86588	6074314.486779	849.58
627622.856133	6074315.18482	849.051
627647.846386	6074315.882861	848.499
627672.836638	6074316.580901	847.953
627697.826891	6074317.278942	847.423
627722.817144	6074317.976983	845.589
627747.807397	6074318.675024	843.803
627772.79765	6074319.373065	842.064
627797.787903	6074320.071106	841.695
627822.778156	6074320.769147	841.31
627847.768409	6074321.467188	840.928
627872.758662	6074322.165229	840.535
627897.748914	6074322.86327	840.155
627922.739167	6074323.561311	839.753
627947.72942	6074324.259352	839.331
627972.719673	6074324.957393	838.894
627997.709926	6074325.655434	838.443
628022.700179	6074326.353475	837.925
628047.690432	6074327.051516	837.351
628072.680685	6074327.749557	836.699
628097.670937	6074328.447598	836.09
628122.66119	6074329.145639	835.539
628147.651443	6074329.84368	835.086
628172.641696	6074330.541721	834.676
628197.631949	6074331.239762	834.293
628222.622202	6074331.937803	833.924
628247.612455	6074332.635844	833.548
628272.602708	6074333.333885	833.146
628297.59296	6074334.031926	832.713
628322.583213	6074334.729967	832.27
628347.573466	6074335.428008	831.843
628372.563719	6074336.126049	831.437
628397.553972	6074336.82409	831.08
628422.544225	6074337.522131	830.769
628447.534478	6074338.220171	830.498
628472.524731	6074338.918212	830.206
628497.514984	6074339.616253	829.833
628522.505236	6074340.314294	829.349
628547.495489	6074341.012335	828.774
628572.485742	6074341.710376	828.171
628597.475995	6074342.408417	827.579
628622.466248	6074343.106458	827.012
628647.456501	6074343.804499	826.45
628672.446754	6074344.50254	825.904
628697.437007	6074345.200581	825.363
628722.427259	6074345.898622	824.845
628747.417512	6074346.596663	824.333
628772.407765	6074347.294704	823.837
628797.398018	6074347.992745	823.353
628822.388271	6074348.690786	822.881
628847.378524	6074349.388827	822.435
628872.368777	6074350.086868	822.039
628897.35903	6074350.784909	821.694
628922.349282	6074351.48295	821.388
628947.339535	6074352.180991	821.1
628972.329788	6074352.879032	820.832
628997.320041	6074353.577073	820.584
629022.310294	6074354.275114	820.359
629047.300547	6074354.973155	820.044
629072.2908	6074355.671196	819.796
629097.281053	6074356.369237	819.604
629122.271306	6074357.067278	819.537
629147.261558	6074357.765319	819.375
629172.251811	6074358.46336	819.087
629197.242064	6074359.161401	818.702
629222.232317	6074359.859441	818.279
629247.22257	6074360.557482	817.857
629272.212823	6074361.255523	817.459
629297.203076	6074361.953564	817.09
629322.193329	6074362.651605	816.755
629347.183581	6074363.349646	816.357
629372.173834	6074364.047687	815.854
629397.164087	6074364.745728	815.462
629422.15434	6074365.443769	815.071
629447.144593	6074366.14181	814.893
629472.134846	6074366.839851	814.736
629497.125099	6074367.537892	814.92
629522.115352	6074368.235933	815.032
624248.473953	6074245.939542	871.727
624273.464206	6074246.637583	865.694
624298.454459	6074247.335624	865.606
624323.444712	6074248.033665	865.492
624348.434964	6074248.731706	865.468
624373.425217	6074249.429747	865.428
